sample_id,cutting_speed,feed_rate,depth_of_cut,tool_nose_radius,material_hardness,tool_life,cutting_force,surface_roughness,power_consumption,material_removal_rate
71,163.05,0.19,1.63,0.51,176.5,286.2,474.17,0.0013,1.472,52.25
72,195.15,0.353,0.53,0.93,176.7,237.61,330.33,0.0024,1.092,35.45
73,237.49,0.184,2.75,0.56,178.6,257.12,902.37,0.001,3.45,120.57
74,243.88,0.281,1.81,0.75,210.1,205.37,1083.56,0.0019,4.304,123.32
75,117.69,0.358,1.52,0.42,173.4,244.65,992.13,0.0073,1.926,60.43
76,54.93,0.142,2.5,0.54,247.9,417.88,875.64,0.0012,0.773,19.68
77,149.3,0.367,1.01,0.63,284.5,238.58,1078.46,0.0039,2.762,55.0
78,254.36,0.237,1.15,0.7,238.5,261.57,603.95,0.0015,2.456,63.1
79,287.11,0.405,0.85,1.09,223.1,190.13,774.91,0.0026,3.62,98.7
80,117.17,0.317,2.08,0.61,170.9,226.32,1138.16,0.0034,2.272,85.06
81,257.44,0.183,0.53,0.51,285.0,333.09,278.52,0.0012,1.278,26.05
82,93.84,0.466,1.55,0.71,227.8,216.64,1666.71,0.0074,2.656,62.46
83,138.92,0.388,1.24,0.85,221.4,217.38,1096.84,0.0036,2.372,69.26
84,57.8,0.205,1.99,0.44,224.5,330.85,967.6,0.0028,0.899,23.75
85,173.87,0.375,1.59,0.6,272.9,206.19,1681.74,0.0045,4.871,95.45
86,140.24,0.137,2.79,0.51,292.5,314.71,1107.78,0.0008,2.635,55.71
87,214.7,0.377,2.62,0.6,223.4,189.8,2261.44,0.0042,8.029,198.71
88,278.87,0.114,2.24,0.64,288.7,339.77,733.91,0.0003,3.577,66.07
89,80.14,0.131,2.24,0.67,258.7,419.68,755.75,0.0007,1.093,23.72
90,129.69,0.35,2.71,0.89,184.9,223.18,1770.12,0.0031,3.687,120.21
91,206.88,0.449,2.96,1.01,212.7,146.35,3060.42,0.0034,9.574,271.38
92,138.66,0.215,1.24,0.59,156.3,274.89,393.04,0.0015,1.0,36.66
93,269.78,0.478,1.67,0.89,175.1,158.45,1410.06,0.0046,6.379,241.52
94,107.67,0.171,1.05,0.55,266.9,363.74,476.93,0.0012,0.812,20.08
95,88.47,0.426,1.06,0.58,230.5,260.45,1130.0,0.0091,1.499,39.25
96,272.19,0.482,2.66,1.05,248.3,146.6,3201.97,0.0035,13.541,363.96
97,173.97,0.132,1.05,0.95,161.4,357.7,225.0,0.0004,0.735,23.56
98,256.17,0.239,2.2,0.85,190.1,229.87,1014.79,0.0012,4.357,137.19
99,259.25,0.379,2.2,0.89,262.9,186.25,2178.28,0.0028,10.064,207.36
100,90.19,0.427,2.58,0.81,151.0,224.14,1548.61,0.006,2.526,103.16
101,185.0,0.412,0.77,1.01,231.2,204.95,729.37,0.0031,2.328,59.03
102,75.63,0.475,2.22,0.45,195.1,214.34,2088.74,0.0128,2.736,77.81
103,267.88,0.489,2.92,1.0,169.5,151.38,2618.86,0.0042,10.543,419.14
104,118.41,0.499,1.57,0.76,174.5,207.16,1436.38,0.0077,2.878,91.44
105,285.9,0.268,2.1,0.72,191.1,198.18,1072.79,0.0018,5.062,163.39
106,103.28,0.112,2.13,0.69,279.7,428.15,671.85,0.0005,1.145,25.6
107,261.2,0.404,2.07,0.5,154.9,181.75,1308.96,0.0059,5.617,233.89
108,79.33,0.15,2.21,0.74,180.1,369.65,601.66,0.0008,0.819,25.52
109,163.81,0.105,0.68,0.71,222.0,480.44,146.14,0.0003,0.45,11.92
110,244.96,0.116,1.7,0.48,186.3,384.05,367.52,0.0005,1.636,46.16
111,137.66,0.113,0.7,0.72,169.9,458.75,146.63,0.0004,0.3,11.17
112,91.87,0.142,2.09,0.97,154.7,418.7,469.66,0.0006,0.731,26.46
113,253.71,0.132,2.74,0.84,272.6,312.58,1089.57,0.0004,4.536,92.6
114,70.41,0.124,1.12,0.53,280.8,456.94,381.97,0.0009,0.486,11.22
115,229.8,0.191,2.99,1.18,247.5,247.86,1463.59,0.0005,5.369,120.56
116,267.07,0.391,2.36,0.74,201.9,160.38,2049.75,0.0036,9.032,225.93
117,198.09,0.465,1.03,0.9,244.7,189.11,1134.53,0.0044,3.962,95.79
118,94.92,0.195,2.93,0.54,278.2,283.26,1592.92,0.0018,2.661,48.15
119,198.24,0.165,1.48,1.18,188.7,312.63,432.51,0.0004,1.492,49.29
120,292.46,0.282,1.09,0.46,175.5,201.38,546.25,0.003,2.791,92.66
121,226.69,0.167,0.92,0.43,260.5,297.28,393.76,0.0013,1.541,35.5
122,196.34,0.447,1.01,0.49,190.5,199.77,836.81,0.0072,2.689,88.26
123,176.81,0.117,0.87,1.19,294.8,419.11,313.99,0.0002,0.929,15.36
124,172.21,0.367,0.85,0.42,196.2,222.61,632.47,0.0059,1.701,56.51
125,94.29,0.377,2.6,1.16,252.5,224.62,2782.31,0.0032,3.942,97.11
126,57.6,0.472,2.22,0.94,182.4,221.48,2089.79,0.0069,1.882,63.55
127,245.6,0.327,2.35,1.1,210.6,191.96,1714.42,0.0016,6.821,194.91
128,249.45,0.274,2.54,0.5,231.7,195.5,1486.75,0.0025,7.258,160.56
129,143.31,0.191,0.68,0.88,250.2,344.89,316.15,0.0009,0.82,18.38
130,179.77,0.292,0.56,0.67,207.0,295.42,310.43,0.0026,1.061,30.58
131,229.53,0.482,0.55,0.56,151.1,208.42,413.6,0.0074,1.532,60.2
132,65.07,0.474,1.38,0.48,222.9,233.12,1395.19,0.0144,1.542,38.45
133,202.58,0.386,1.18,0.73,168.3,212.05,791.51,0.0035,2.615,86.33
134,227.26,0.143,1.92,0.61,294.4,330.71,805.02,0.0006,3.07,63.7
135,200.4,0.428,2.71,0.58,181.8,176.19,1964.63,0.0061,6.618,224.26
136,245.13,0.21,2.56,0.74,250.1,242.44,1292.54,0.0012,5.155,135.0
137,265.7,0.187,0.74,0.42,246.3,288.88,357.0,0.0016,1.466,34.16
138,198.62,0.299,2.97,0.51,254.3,192.13,2044.78,0.0033,7.898,178.84
139,194.6,0.21,0.7,0.47,284.1,300.29,405.07,0.0016,1.309,26.76
140,67.36,0.308,0.67,1.04,185.1,351.46,385.78,0.0027,0.476,13.05
141,217.37,0.498,2.15,0.85,259.6,154.37,2691.59,0.0051,10.39,233.96
142,93.83,0.376,1.0,0.83,164.5,282.64,613.72,0.0047,0.915,34.42
143,88.1,0.497,2.82,0.83,276.3,184.24,4342.23,0.0081,5.768,121.46
144,81.93,0.43,2.46,0.97,155.4,209.54,1578.92,0.0051,2.229,86.95
145,126.38,0.259,1.62,0.88,227.4,282.38,955.46,0.0017,2.021,52.66
146,145.16,0.451,2.67,1.04,268.5,180.38,3207.57,0.0036,7.714,165.81
147,293.9,0.356,2.56,0.51,279.3,187.26,2545.59,0.0046,13.353,275.21
148,93.71,0.301,1.5,0.52,205.1,282.71,931.62,0.0041,1.404,36.12
149,76.42,0.356,1.04,0.9,247.5,285.76,913.54,0.0043,1.185,27.84
150,295.92,0.196,0.86,0.5,195.5,283.2,317.55,0.0013,1.558,45.74
151,205.97,0.311,1.57,0.5,283.0,231.45,1285.75,0.0034,4.46,91.18
152,256.88,0.393,2.42,0.41,212.4,170.94,2027.69,0.0069,8.342,246.25
153,103.8,0.105,1.1,1.18,270.2,450.05,313.78,0.0002,0.547,11.42
154,163.59,0.438,0.75,0.79,172.5,233.74,540.1,0.004,1.505,51.03
155,246.25,0.457,2.89,1.03,197.3,141.15,2529.79,0.0039,11.07,317.0
156,59.61,0.461,1.65,0.91,248.9,249.25,1988.65,0.0068,1.916,42.71
157,234.36,0.305,2.2,0.43,162.7,206.26,1074.07,0.0038,3.986,149.6
158,137.43,0.41,2.15,0.55,176.1,206.19,1504.86,0.006,3.73,124.97
159,145.48,0.182,0.8,0.89,266.2,371.31,400.1,0.0008,0.918,22.29
160,294.99,0.341,1.96,1.0,271.8,178.91,1847.06,0.0021,8.827,190.77
161,158.02,0.276,2.03,1.15,186.1,225.98,1034.73,0.0012,2.798,92.17
162,121.48,0.426,2.65,1.08,287.8,207.58,3136.88,0.0039,6.574,143.54
163,214.04,0.171,1.86,1.19,290.6,298.56,946.13,0.0004,3.222,70.16
164,176.46,0.436,2.33,0.83,238.6,165.55,2443.47,0.0045,7.381,182.49
165,240.28,0.164,1.65,0.41,187.0,303.86,503.05,0.0011,1.977,67.1
166,188.77,0.393,2.04,0.55,203.3,195.98,1754.14,0.0047,4.86,147.99
167,269.16,0.499,1.42,0.76,258.3,159.06,1853.62,0.006,7.64,173.86
168,223.9,0.101,2.05,0.68,269.1,368.01,536.39,0.0003,2.058,46.76
169,190.37,0.324,2.01,0.94,270.7,205.58,1836.98,0.0019,5.381,123.98
170,64.64,0.234,2.46,0.97,268.3,274.47,1618.04,0.0016,1.602,35.63
171,105.15,0.339,2.34,1.2,290.0,234.38,2193.86,0.0025,4.3,85.88
172,79.58,0.264,2.6,0.71,235.8,264.64,1656.4,0.0026,2.033,53.17
173,179.52,0.219,2.85,0.61,214.4,258.76,1380.58,0.0014,3.792,96.23
174,83.37,0.132,2.32,0.8,215.5,419.12,691.04,0.0006,0.874,26.08
175,214.24,0.483,0.67,0.45,192.3,193.93,598.15,0.0088,2.209,70.8
176,117.99,0.404,1.62,1.02,159.8,216.16,1051.78,0.0036,1.953,70.56
177,274.96,0.109,2.16,1.17,234.0,314.73,507.48,0.0002,2.623,60.51
178,99.52,0.326,1.66,1.18,241.3,246.53,1291.97,0.0022,2.118,55.58
179,190.31,0.309,0.79,1.09,258.4,245.25,636.32,0.0015,1.918,46.53
180,164.58,0.294,0.91,1.16,277.5,255.14,823.16,0.0015,1.946,42.66
181,178.13,0.423,1.65,0.44,267.9,196.06,1810.81,0.007,5.421,118.14
182,239.19,0.308,1.01,1.1,281.9,224.64,902.6,0.0015,3.503,74.28
183,277.31,0.315,1.74,0.48,248.5,193.29,1341.01,0.0038,6.369,141.64
184,121.78,0.417,1.94,0.91,269.7,219.0,2174.86,0.0039,4.483,103.61
185,129.19,0.443,2.77,0.62,297.5,197.6,3596.7,0.0065,7.5,161.57
186,160.08,0.346,0.71,1.11,270.5,258.16,665.85,0.0021,1.772,41.52
187,91.49,0.453,1.57,0.53,151.9,240.66,1149.14,0.0115,1.702,66.04
188,69.85,0.393,0.97,1.09,272.9,302.43,1063.28,0.0041,1.098,26.34
189,139.45,0.298,2.57,0.67,176.1,246.58,1408.97,0.0027,3.105,104.75
190,85.49,0.239,1.63,1.0,247.7,288.85,1029.01,0.0015,1.465,33.31
191,81.57,0.37,1.31,0.95,160.4,264.19,796.22,0.0039,1.099,38.73
192,119.82,0.357,2.24,0.81,195.8,235.66,1466.36,0.0036,3.239,89.86
193,276.8,0.368,1.9,0.49,217.1,191.09,1606.78,0.0048,6.261,202.02
194,294.2,0.144,1.56,0.43,261.0,294.13,599.46,0.0008,2.987,66.71
195,251.23,0.107,2.91,0.98,195.7,332.02,594.76,0.0002,2.606,85.49
196,74.13,0.197,0.53,0.78,195.2,388.48,213.31,0.0015,0.243,7.91
197,198.31,0.457,0.96,0.46,185.9,207.13,823.32,0.0085,2.586,88.33
198,73.46,0.464,2.17,1.06,281.8,230.5,3244.55,0.0053,3.382,79.51
199,200.48,0.457,1.61,0.89,244.7,179.81,1951.05,0.0043,6.048,135.56
200,76.06,0.254,1.72,0.92,292.6,332.75,1324.28,0.0022,1.638,33.01
201,140.46,0.289,0.61,0.51,191.5,287.99,317.14,0.0032,0.739,25.88
202,101.75,0.307,0.51,0.41,182.9,331.21,281.13,0.0059,0.558,16.33
203,149.25,0.135,2.04,0.49,201.8,346.83,587.63,0.0007,1.519,40.98
204,298.2,0.153,1.19,0.72,213.3,312.68,383.39,0.0006,2.07,56.49
205,288.77,0.428,0.5,0.91,157.7,199.79,368.52,0.0037,1.619,59.57
206,164.06,0.248,0.8,0.74,262.7,297.6,519.21,0.0016,1.515,34.52
207,52.53,0.354,2.78,0.89,281.1,244.36,2713.23,0.0044,2.31,52.1
208,52.93,0.269,1.24,0.79,236.6,312.36,823.6,0.0029,0.746,18.02
209,157.48,0.369,1.19,0.65,268.3,235.93,1263.38,0.0039,3.145,70.0
210,279.16,0.272,1.3,0.87,205.7,243.27,756.42,0.0014,3.638,97.39
211,85.65,0.456,1.36,0.52,153.8,218.19,1025.96,0.0115,1.336,52.75
212,152.41,0.224,2.19,0.88,204.7,292.22,987.54,0.0011,2.421,75.04
213,291.0,0.254,0.6,0.42,208.2,253.48,312.02,0.0029,1.576,43.46
214,79.03,0.482,1.28,1.11,240.4,214.64,1388.24,0.006,1.774,49.43
215,185.43,0.405,2.58,0.75,195.3,173.81,1968.08,0.0038,6.278,189.37
216,117.56,0.487,1.89,0.68,237.1,196.1,2072.76,0.0078,4.801,109.94
217,192.34,0.348,1.0,0.72,155.9,237.62,618.43,0.0028,1.773,68.78
218,183.35,0.448,0.83,1.03,168.7,201.94,653.87,0.0035,1.802,67.85
219,265.89,0.335,1.44,0.63,180.5,206.38,846.57,0.0034,3.454,148.43
220,194.32,0.446,2.95,0.73,274.1,173.96,3890.17,0.0052,11.604,254.23
221,177.61,0.351,2.82,0.42,221.5,207.97,2316.75,0.0056,6.242,178.94
222,124.85,0.243,2.51,0.62,181.6,256.96,1162.56,0.0021,2.403,77.94
223,242.23,0.363,2.42,1.08,242.0,178.72,2126.09,0.0021,8.525,204.7
224,151.78,0.126,1.37,0.49,271.2,382.68,486.32,0.0006,1.181,28.24
225,226.77,0.12,0.68,0.72,194.3,393.82,153.4,0.0003,0.628,18.4
226,130.37,0.291,1.07,0.91,296.8,249.44,977.69,0.0019,2.037,40.36
227,162.34,0.334,2.06,0.46,252.4,228.24,1815.81,0.0043,4.835,114.75
228,188.13,0.308,0.86,1.02,190.7,226.11,504.25,0.0017,1.508,48.12
229,119.04,0.383,0.66,1.07,150.6,260.79,395.79,0.0029,0.729,29.47
230,140.06,0.208,2.61,0.65,268.3,273.72,1530.31,0.0013,3.54,75.75
231,146.91,0.353,2.26,0.4,175.0,235.07,1468.97,0.0064,3.446,118.37
232,124.51,0.142,2.45,0.92,157.2,354.06,547.34,0.0004,1.144,40.31
233,142.18,0.248,0.63,1.01,212.5,308.35,338.96,0.0012,0.815,20.97
234,168.07,0.452,1.04,0.94,241.2,197.73,1112.73,0.0043,3.312,83.21
235,148.78,0.385,1.0,1.11,193.1,214.92,724.79,0.0026,1.851,54.34
236,116.9,0.434,0.54,0.7,200.6,250.58,407.55,0.0063,0.804,27.14
237,166.02,0.485,1.8,0.94,196.8,183.23,1783.76,0.0048,4.87,145.01
238,81.39,0.107,2.43,1.05,168.0,467.91,421.59,0.0003,0.602,22.12
239,293.55,0.439,0.56,1.12,267.5,185.53,649.9,0.0032,2.958,69.02
240,66.42,0.191,1.12,0.79,262.1,380.19,562.89,0.0014,0.626,14.04
241,106.35,0.178,0.85,0.9,267.2,365.39,385.23,0.0009,0.741,17.08
242,147.04,0.37,1.15,0.68,287.6,228.23,1114.01,0.004,3.099,59.09
243,289.48,0.312,1.1,0.8,251.9,212.18,861.25,0.0021,4.157,106.58
244,186.64,0.273,0.61,0.53,216.8,285.02,368.79,0.0025,1.145,30.42
245,198.39,0.129,2.06,1.18,178.5,305.73,485.61,0.0003,1.522,53.99
246,169.23,0.387,1.12,0.91,250.0,221.58,1020.75,0.003,3.303,75.57
247,107.17,0.354,1.06,0.66,277.2,256.49,1015.12,0.0046,1.816,39.87
248,170.22,0.365,0.8,0.63,209.7,221.16,562.14,0.0039,1.747,49.72
249,139.28,0.415,1.13,0.85,203.8,228.41,899.06,0.0042,2.223,62.07
250,105.21,0.116,0.59,0.54,280.0,458.76,210.88,0.0006,0.381,6.89
251,138.26,0.458,2.87,1.11,212.9,192.87,2784.96,0.0041,5.99,181.24
252,197.78,0.174,1.33,1.08,181.1,306.06,435.76,0.0005,1.362,44.76
253,223.4,0.408,2.14,0.52,281.4,189.23,2242.26,0.0057,8.933,194.17
254,81.97,0.406,0.5,0.73,228.4,278.71,442.83,0.0059,0.614,17.66
255,262.11,0.269,1.26,0.66,256.9,240.98,850.47,0.002,3.953,87.55
256,251.67,0.494,2.39,0.71,238.6,152.09,2849.3,0.0065,12.043,303.68
257,195.94,0.481,0.61,0.61,240.2,201.83,738.85,0.0064,2.248,57.82
258,178.46,0.304,1.42,1.15,274.1,248.23,1246.72,0.0015,3.519,81.29
259,265.42,0.21,2.52,0.56,201.8,246.45,1090.52,0.0014,4.828,151.81
260,286.77,0.299,1.45,0.53,267.9,202.81,1246.72,0.0029,5.684,129.04
261,254.28,0.319,2.92,0.44,225.7,179.46,2175.55,0.0041,9.128,230.13
262,188.18,0.259,0.83,1.09,173.6,257.77,354.4,0.0011,1.218,39.05
263,206.22,0.329,2.58,1.12,151.8,207.32,1267.84,0.0017,4.045,178.6
264,126.69,0.241,2.05,0.67,259.9,263.09,1282.35,0.0018,2.856,68.43
265,133.11,0.123,1.43,1.16,246.3,385.1,459.24,0.0003,0.948,21.87
266,237.73,0.141,1.19,0.62,214.8,308.75,362.82,0.0006,1.388,38.63
267,136.63,0.259,1.16,0.56,222.5,304.89,640.37,0.0023,1.545,41.22
268,200.91,0.131,0.69,1.16,194.6,392.16,168.64,0.0003,0.625,19.18
269,202.5,0.225,1.18,0.88,279.9,286.37,764.64,0.001,2.56,50.14
270,225.28,0.372,1.52,0.41,237.4,195.45,1236.78,0.0059,5.18,124.98
271,218.12,0.491,0.75,0.41,215.0,197.79,807.37,0.0103,2.883,84.13
272,114.68,0.274,2.31,0.41,238.4,277.78,1611.04,0.0044,2.752,73.78
273,53.44,0.199,1.04,0.62,187.1,423.7,388.79,0.0019,0.359,11.86
274,218.22,0.132,2.88,1.07,270.8,283.66,1045.53,0.0003,3.892,83.85
275,67.11,0.248,2.8,0.87,230.7,325.99,1554.67,0.0019,1.838,48.41
276,246.85,0.282,2.08,0.6,255.8,195.79,1346.45,0.0024,6.224,140.89
277,55.48,0.22,1.76,0.44,223.7,326.8,852.25,0.0036,0.757,22.35
278,89.87,0.164,0.68,0.55,249.6,427.88,281.0,0.0013,0.424,9.48
279,112.49,0.306,1.84,0.69,203.1,239.16,1175.4,0.0033,2.211,62.49
280,288.2,0.231,1.39,0.8,291.2,253.39,832.85,0.0011,4.483,94.08
281,259.48,0.444,2.37,0.75,241.6,171.31,2605.41,0.0044,11.312,260.31
282,107.4,0.147,0.91,0.4,257.8,412.93,378.09,0.0013,0.636,13.86
283,105.59,0.308,2.02,0.6,158.7,249.42,922.26,0.0037,1.832,72.46
284,153.94,0.272,1.85,0.96,255.3,248.33,1204.95,0.0015,3.266,79.56
285,78.85,0.342,0.79,0.67,171.4,329.92,444.91,0.0051,0.642,21.15
286,101.08,0.303,1.55,0.41,268.9,267.63,1219.71,0.0061,2.239,44.83
287,52.49,0.389,1.84,1.07,273.2,283.07,1969.89,0.0046,1.823,36.42
288,162.82,0.173,2.64,1.11,219.9,287.97,973.62,0.0005,2.866,76.3
289,66.64,0.359,0.69,0.7,270.6,309.65,608.26,0.0056,0.722,15.43
290,143.13,0.127,1.42,0.77,258.4,408.71,493.52,0.0004,1.241,26.33
291,66.62,0.407,1.96,1.03,262.8,266.9,2117.86,0.0051,2.39,50.79
292,205.12,0.397,0.92,0.56,283.6,215.97,1054.62,0.0052,3.824,78.23
293,194.7,0.353,0.89,0.78,257.5,232.79,777.51,0.0028,2.491,58.84
294,103.73,0.27,2.77,0.81,178.2,261.7,1306.52,0.0023,2.265,81.85
295,117.99,0.377,1.16,1.15,245.5,248.87,1014.6,0.0026,2.183,49.15
296,104.68,0.338,1.16,0.93,272.2,272.22,1115.16,0.0028,2.009,40.17
297,114.89,0.113,2.7,0.59,233.6,389.36,721.68,0.0005,1.422,34.64
298,272.03,0.23,2.75,1.2,273.8,215.32,1793.44,0.0007,7.927,182.3
299,251.67,0.443,2.99,0.59,156.1,153.47,1969.46,0.0057,8.686,331.72
300,245.93,0.326,1.28,0.92,184.8,227.1,799.41,0.0021,3.498,107.9
301,196.73,0.332,2.98,1.01,216.3,199.87,2058.12,0.0021,7.212,181.03
302,282.05,0.472,1.35,0.82,181.7,179.24,1195.33,0.0049,5.906,179.63
303,218.7,0.371,1.43,1.15,175.1,195.64,1024.51,0.0021,3.573,124.05
304,118.82,0.162,2.09,0.88,176.9,329.69,658.12,0.0007,1.223,41.4
305,224.91,0.435,2.51,1.17,230.4,181.84,2200.96,0.0028,9.559,231.3
306,119.25,0.469,1.96,0.87,203.2,191.79,1858.29,0.0058,3.77,111.21
307,102.81,0.445,2.72,0.56,260.6,210.68,3307.39,0.0085,5.493,129.37
308,293.35,0.286,2.62,0.45,200.3,198.89,1525.7,0.0031,7.281,212.44
309,167.28,0.207,0.75,0.53,172.1,307.35,268.56,0.0015,0.784,25.26
310,131.56,0.22,1.08,0.5,188.5,332.57,423.94,0.002,1.002,32.64
311,88.73,0.133,1.71,0.64,234.5,404.14,527.5,0.0007,0.802,22.93
312,86.02,0.35,1.18,0.79,162.3,245.2,662.62,0.0039,0.857,36.57
313,216.8,0.411,2.66,0.65,230.7,190.0,2487.45,0.0048,9.093,219.9
314,235.41,0.297,1.71,1.07,204.2,213.19,1092.91,0.0014,3.673,116.49
315,99.1,0.481,0.94,0.85,236.9,234.75,1193.27,0.0067,1.8,41.32
316,143.04,0.365,0.85,0.86,177.8,234.05,535.17,0.0031,1.295,45.34
317,292.48,0.329,0.86,0.7,269.7,213.81,733.6,0.0027,3.928,83.19
