material_to_cut,blade_material,cutting_angle_deg,blade_thickness_mm,cutting_speed_m_per_min,applied_force_N,operating_temperature_C,lubrication,friction_coefficient,blade_lifespan_hrs,wear_estimation_pct,cutting_efficiency_pct,performance_score
Steel,Carbide,8.772410380852623,2.342421088544853,148.3196868294943,1497.394329685406,283.3112561952191,True,0.478,1.83,39.1,67.7,51.8
Steel,HSS,7.269472752548783,7.9519337550373494,100.42740881420235,1753.219060159914,213.1757440646345,True,0.374,0.46,31.7,79.9,54.6
Steel,Carbide,15.933589997775739,5.8893175076291895,71.04440547003261,397.2756963622302,506.1259523831408,True,0.368,1.84,20.8,88.0,60.5
Titanium,Carbide,19.185942738353305,4.541980516385021,114.21230036361221,1972.262926944363,48.464076007398596,True,0.511,0.95,33.4,79.0,51.8
Titanium,HSS,6.000716728695135,3.1182157275051434,88.33702588777382,1822.8230721035957,520.7693712913865,False,0.868,0.24,67.0,74.5,28.5
Titanium,HSS,6.387906298810842,2.6016703228159344,61.399325819944416,1929.4145558323114,428.1065809927148,False,0.837,0.3,53.1,65.8,27.2
Aluminum,HSS,21.05358325411838,2.359085483973785,156.23206330339715,1720.0744431291153,192.37050610041635,True,0.322,2.97,33.8,72.0,56.1
Titanium,HSS,21.18065399014664,3.2943693991219263,163.55434680835452,1767.5715332637728,134.70575000622642,True,0.516,0.19,44.3,70.8,47.5
Aluminum,Carbide,9.906094341181625,2.241150358381933,164.05620333590062,1237.7749402350098,571.1022759851184,False,0.46,7.01,65.2,65.5,37.7
Aluminum,HSS,17.304564056004068,7.861137939540168,88.78570328642502,1706.0891199230264,341.266630318995,False,0.493,3.39,46.1,80.2,39.5
Titanium,Carbide,13.86360150289319,3.9889129521739175,50.51512125368712,1114.6253799402643,219.97102166963512,False,0.801,0.97,44.3,78.4,34.9
Aluminum,HSS,17.65392082807026,4.949923415456073,171.2740306713461,1122.6126241650131,45.7917332010861,True,0.297,2.96,24.8,71.6,58.7
Titanium,HSS,22.2575856819845,8.581729710527064,79.2674977675184,1168.9021746118858,116.15486528351545,False,0.816,0.27,45.3,81.5,34.0
Titanium,HSS,6.59712849164513,2.9172599721967254,154.6520244053635,1993.0040573158017,366.9357087362535,False,0.799,0.23,72.1,61.2,22.5
Steel,HSS,20.559688519769086,8.6847522418897,167.14110098794066,298.3501962614835,317.60356617554595,True,0.407,0.33,32.0,68.1,49.4
Titanium,Carbide,14.860582090420786,7.116322804402305,158.2674495684964,1630.6589591420577,459.4138676045372,False,0.765,0.86,72.1,72.0,25.1
Steel,Carbide,16.28253887523993,4.7362361168368246,90.16508552434537,619.2937939321184,504.2057923624646,False,0.696,1.87,50.3,80.4,34.4
Titanium,HSS,18.078627200342403,2.942457704541474,188.84301078606867,786.3314569357103,250.3613855381492,False,0.761,0.18,55.4,66.7,28.2
Titanium,Carbide,23.452462982582148,2.7319415787273,138.82923502454884,253.0131888814532,78.53935117932866,True,0.477,0.88,14.8,74.1,57.6
Steel,Carbide,6.134399071034757,4.684114768634565,123.63433117783818,767.9901846297322,479.08726084144644,True,0.43,1.73,34.1,78.0,53.5
Steel,HSS,5.589527042488953,3.1227357817443666,145.62363837350247,1982.4491245597458,341.16925819119297,True,0.4,0.43,44.9,71.9,48.9
Titanium,HSS,8.565235629775469,4.141682371802198,28.050882187770213,854.4315974732674,588.2792952946005,False,0.822,0.39,47.4,69.6,32.8
Aluminum,Carbide,24.728954520534728,2.4236464036105962,90.29269510015484,1372.4070479472687,481.88295140341506,False,0.531,6.79,50.8,77.2,42.4
Steel,Carbide,19.301527347555513,6.760067373573591,178.61908769231795,329.355057506922,210.86217853443955,False,0.685,1.64,51.3,68.7,31.8
Aluminum,Carbide,17.29282238109004,3.162208935630436,48.994346269228544,1852.7446985224865,268.52427867772064,True,0.289,9.41,23.2,78.8,70.1
Aluminum,Carbide,5.9407810682949584,8.053858505005017,94.59211659253934,1672.7162218989176,156.63406460565594,True,0.322,8.44,25.7,79.8,67.0
Aluminum,HSS,22.582204477859296,3.745399810223777,92.94463841095475,833.9591779741985,316.9591282807824,False,0.47,2.82,42.4,78.6,39.8
Steel,HSS,21.25513706594319,8.383812634705487,84.0875079265444,762.0803320782545,432.2204768036644,False,0.667,0.38,44.4,79.1,32.7
Aluminum,Carbide,18.296000877341697,3.5190558898069417,121.2232391946164,921.3073066756715,375.24348066239344,False,0.489,7.71,44.1,78.3,46.5
Steel,HSS,11.782616309694054,7.770932509610389,199.31564892542502,862.3905474235474,218.40840838556593,True,0.419,0.38,42.4,68.6,47.1
Aluminum,Carbide,6.410099111365146,4.664597437001579,66.05279278159335,590.2965290209936,497.51394648093145,False,0.484,7.45,38.5,76.0,46.5
Titanium,Carbide,16.60076975801845,6.664959959112067,146.8922820634985,1982.6079209154243,80.93407888599896,False,0.817,0.68,55.4,70.9,28.1
Titanium,HSS,19.39389142921675,2.3092945145739074,156.43909959962073,1640.038265839004,102.68172193893437,False,0.759,0.21,54.5,71.1,31.5
Steel,Carbide,6.884807009544948,5.96195547483406,125.20972634233921,609.0541930643453,254.41254872848748,True,0.433,1.77,29.6,82.1,56.2
Titanium,Carbide,17.67535319596992,3.189503157616506,37.545623822212576,1965.2771219511649,427.3011219410196,False,0.784,0.97,48.0,66.8,30.0
Titanium,HSS,10.727321357743172,5.890561817992212,123.02722952215352,129.5072622890707,422.6276932964136,True,0.528,0.21,24.6,84.1,55.3
Aluminum,HSS,20.284884424396235,3.1308730470891977,191.62360562104772,932.0055097858929,232.58359677548754,True,0.327,2.47,37.9,64.7,49.9
Steel,Carbide,15.79231701203674,5.496712961114967,81.57082598996124,1182.0218744163133,424.0325845805285,False,0.704,2.01,54.7,84.8,35.7
Aluminum,Carbide,7.580735756208734,2.884966561858307,135.1438627482971,171.41458201212484,55.13974964658386,True,0.299,6.92,9.2,83.1,69.5
Aluminum,HSS,15.53038895466472,3.759612141874366,192.6915918365447,405.9706623372227,188.21273089841904,True,0.285,2.73,31.6,74.0,55.6
Aluminum,Carbide,12.914737267334374,6.760631484030838,163.63825062225445,590.449056152064,422.388521698985,False,0.42,7.67,53.8,73.4,41.8
Aluminum,Carbide,8.607119365633038,9.813285097681138,143.89539134546771,1468.4314096419569,126.74401260430041,True,0.303,6.57,34.0,74.5,62.3
Aluminum,HSS,21.830314481242464,5.593478147135776,194.80679817829653,1885.5127048440231,143.37297659290482,False,0.534,2.82,63.4,64.9,28.7
Aluminum,HSS,5.220568969982724,7.49738954087602,50.70493195378403,1286.61666504907,70.39191898219332,False,0.472,3.69,33.8,77.2,43.2
Aluminum,HSS,11.242565537562118,6.3153973683550015,159.09478192997096,1169.0570229195548,231.39318936317068,False,0.475,2.5,47.3,70.2,35.1
Steel,HSS,5.2519007633885355,5.986863474355502,93.23043811809922,1119.8423279540143,498.4577995440405,False,0.703,0.42,55.1,76.1,29.5
Titanium,HSS,6.920138930123054,2.5176335747188094,84.87770378249077,766.3369346409031,505.088291817177,True,0.442,0.22,25.9,74.9,53.5
Aluminum,HSS,10.941924383461622,3.1543792182022354,113.72105259235286,1672.6572576606748,520.170269024484,True,0.278,2.66,36.7,82.1,57.8
Aluminum,Carbide,6.085423707787472,9.064461833860538,26.07519057994248,1127.4581326488924,41.288337103551285,True,0.287,8.09,11.0,75.0,70.3
Aluminum,Carbide,16.932610647142823,5.281314520334426,76.2553317671053,537.1960407150732,596.2234494142303,False,0.504,7.35,41.5,86.0,49.4
Aluminum,HSS,6.737258159723655,6.914659812678328,49.91878901421414,359.97929551174843,311.53191859370685,False,0.562,3.45,34.4,74.7,40.6
Aluminum,HSS,19.034272681321905,6.225865861719667,44.96436189511485,1972.4737782375512,526.1816775924066,True,0.299,3.62,32.0,74.4,56.5
Aluminum,Carbide,6.052842252543222,5.031059036409879,80.72129180361766,133.19910854180347,544.9664881301934,False,0.511,8.59,42.9,79.1,47.7
Titanium,Carbide,6.1861778960219365,5.102532340887449,164.40758444192767,1873.5360569806294,318.4089791416689,False,0.798,0.73,68.6,64.9,24.2
Titanium,Carbide,11.106517980665327,6.443720047269382,56.19999221391237,514.7762722425907,49.63205558919603,True,0.489,0.93,12.7,81.9,58.2
Aluminum,HSS,22.93143049938555,3.129134411805949,115.65484119783375,1349.3441120951304,366.5324645202087,True,0.305,3.0,32.8,76.4,55.8
Titanium,HSS,17.82786497446633,5.098072322035472,154.7581149263279,672.9117986364494,213.77420352373892,False,0.829,0.2,48.7,72.7,31.4
Steel,Carbide,20.402625838578388,5.575804555221913,63.37487628292134,1733.6397825716497,139.92467005538984,False,0.751,2.15,42.9,78.6,39.5
Aluminum,HSS,7.831042189542121,9.881009789408994,186.35659323603895,1132.546112145056,125.8505905802577,False,0.496,2.85,49.1,59.7,33.3
Steel,HSS,21.68250866494492,4.811638154285742,175.96962259968862,368.0097363652853,344.37325232825197,True,0.409,0.38,33.8,67.3,48.5
Steel,HSS,5.162924963884703,7.156631167046951,65.21207811209166,612.6865008532909,80.59539395989363,False,0.771,0.51,33.7,73.1,35.4
Aluminum,Carbide,9.261147014660123,3.0993239986117453,198.13485212584288,708.605289782543,496.5538413968093,True,0.351,6.67,44.3,63.6,56.5
Titanium,Carbide,17.32184642299987,2.523851054641753,140.45079694070293,1783.2524923411852,151.83014350749556,True,0.491,0.86,36.0,75.9,51.9
Steel,HSS,12.504928171881007,8.972336112009842,71.49800673567206,1556.8029955414365,338.58869318556816,True,0.458,0.52,31.8,76.8,52.5
Aluminum,HSS,24.68386783437127,7.845879219245492,142.58674195500225,1676.2158939606477,92.76692085239901,False,0.549,2.86,45.5,67.4,33.6
Steel,HSS,5.606784936366365,4.539994300756552,139.92468867259248,199.2791568987597,518.5849339582726,True,0.413,0.34,28.0,79.1,52.2
Steel,HSS,24.971963358730864,6.036624023177832,129.1148524521792,1199.686190399201,421.41068114796957,True,0.449,0.36,41.5,76.4,50.1
Steel,HSS,17.47255665722632,3.0859534756147085,148.1052999941255,1998.4361679778283,139.7826888786346,True,0.425,0.37,34.3,76.3,52.6
Steel,Carbide,16.174139891921932,7.657282351846882,68.2968242675432,1591.8793142012971,435.12963894414315,False,0.706,1.96,53.9,78.7,33.8
Titanium,HSS,6.190248851279487,2.5626447366995118,196.21738740611622,329.34459464083756,68.08207744964842,True,0.504,0.21,30.3,60.7,48.1
Steel,HSS,10.466577533317814,8.056264455529615,174.42123630952847,1389.7545180739626,467.88567524329,False,0.753,0.4,68.0,60.9,25.4
Steel,HSS,23.493253765831913,6.374692082159893,154.23344347327776,1516.1152597008481,304.4011314376883,False,0.717,0.4,61.7,68.6,26.4
Steel,Carbide,12.084920063784885,4.230804240694118,24.73489884858484,1077.0718762506763,89.70652611340051,False,0.728,2.46,27.9,75.8,41.7
Titanium,Carbide,18.23306400934502,8.900594832491654,126.26936718511232,249.6309807695398,339.27738898205524,True,0.508,0.87,27.8,82.6,56.4
Steel,HSS,24.989927008374433,9.888574962710834,147.16711786562848,165.9038468920782,136.50245674867972,True,0.46,0.4,18.2,70.6,55.1
Steel,Carbide,10.261394276670824,4.034792809581104,173.73796887941896,1881.8384247547658,410.2081552226852,False,0.719,1.82,71.0,63.1,26.7
Titanium,Carbide,16.521617580289877,8.44996919668746,190.30828192200966,589.2765344093754,430.99937450031723,True,0.488,0.72,45.4,70.1,47.3
Titanium,Carbide,18.92875585404426,8.001330531011659,184.85355798951545,820.0394413350551,461.2872311229485,False,0.791,0.8,61.4,63.2,25.2
Titanium,Carbide,8.292544931308303,7.977520968845355,93.08808784688388,1611.0273278724594,539.0248888119224,False,0.821,0.96,66.5,77.4,30.5
Steel,Carbide,7.973451273923642,9.657884891872218,181.37021383531152,1409.595418763142,399.86492632674816,False,0.69,1.55,66.7,58.7,26.5
Titanium,Carbide,14.126158233163466,5.892936738415939,20.134785658676815,1940.2748300652365,305.22608448898166,False,0.804,1.23,42.5,74.2,36.5
Titanium,HSS,12.716250435185788,7.3933443244532375,83.26553807140156,276.3944804012183,515.4508690332575,True,0.45,0.29,28.2,86.8,56.7
Steel,Carbide,19.284308737146276,8.591018909006433,40.49859246147086,1443.1471907505318,541.9095633912838,True,0.485,2.02,35.4,76.3,54.6
Titanium,Carbide,6.390175428971725,5.836291560344211,178.95218600903644,256.23482027757217,473.41695976537306,True,0.448,0.76,35.0,71.1,50.7
Steel,HSS,24.443332474813808,5.851449622496047,187.03674297804537,100.31444335217476,566.6083486397679,True,0.438,0.37,41.3,68.5,46.0
Aluminum,HSS,5.285539633716647,4.549238032538811,66.08151526704026,328.43742975672,588.0716878335458,False,0.478,2.72,38.0,75.6,39.0
Titanium,HSS,17.026336486723025,8.246605702617073,86.1158806625834,1271.7791117305508,165.7608222695386,False,0.76,0.26,40.0,84.0,35.7
Aluminum,HSS,16.252651917347766,7.4895662374844525,197.09797149507662,1384.7662241971389,126.54295001044193,True,0.316,2.89,41.3,63.7,48.9
Steel,Carbide,7.694314617394515,5.6091191960083995,121.89142347129136,932.8457575782099,280.18356977894746,False,0.747,1.81,45.2,79.2,35.0
Titanium,Carbide,8.018319654270595,5.354693259189894,109.47005181589512,187.53434850110602,598.21749831884,True,0.458,0.84,30.1,84.3,54.5
Steel,Carbide,20.853549755892537,2.580717145352949,110.0783765029839,1304.7128430035323,71.31454402417253,False,0.719,1.59,47.3,77.9,33.7
Aluminum,Carbide,22.75124916825366,2.052009174627324,145.31387226910087,263.0532074143311,432.9565227031083,False,0.556,7.11,51.9,70.8,42.0
Steel,HSS,10.66033931767539,6.231151732254747,191.8177462589625,369.28003035615563,513.4846752721579,True,0.49,0.35,38.2,70.3,49.7
Titanium,Carbide,13.759279279251368,5.339942818812796,85.9920373554271,1073.893801064571,597.9396340478235,False,0.793,0.79,53.1,77.0,34.3
Titanium,Carbide,12.099900820767072,8.368294079214113,51.07843030682773,746.7092158022107,379.4332336004384,False,0.8,1.01,45.4,74.9,32.6
Aluminum,HSS,6.450940259733038,6.341232450456972,53.302320587538276,983.0324618250471,240.4547784106357,True,0.305,3.11,15.1,74.6,58.5
Steel,Carbide,18.46408492031619,9.493648347057803,23.664626855283203,1306.6461168916658,116.56639448442826,True,0.444,2.36,13.3,70.7,60.3
Titanium,Carbide,21.503858696113802,3.5691263908879884,119.97388930147295,404.01336870665386,589.4220001505615,True,0.477,0.82,30.9,79.7,54.5
Aluminum,Carbide,11.097587147824141,9.921202723080318,187.24109939668114,1796.8648054129148,556.0378868471863,False,0.522,6.82,71.6,56.8,33.1
Titanium,Carbide,24.803515872614366,4.383353554496851,148.35384116821064,1163.0121228278563,486.6209180869032,False,0.8,0.68,62.1,63.6,27.3
Titanium,HSS,6.517031145647099,7.1393917885864475,198.73361478304474,141.97722350944264,567.389311854015,False,0.779,0.22,60.6,58.2,24.2
Steel,HSS,18.23581427629042,6.014829708933211,183.71493333658202,1294.0603992943359,55.295556203830124,True,0.435,0.37,37.3,68.3,47.9
Titanium,HSS,13.96456029052178,4.876611209993995,108.53438121027635,980.0399703706976,386.2658497940167,False,0.785,0.28,51.5,81.2,32.5
Steel,HSS,13.932038022133117,3.114473466123573,107.57888850641567,1433.1143118041268,179.38185197162574,True,0.392,0.4,30.3,81.8,53.1
Titanium,HSS,14.152912320670804,3.0786732116176934,133.10430136914226,1589.663883581335,464.0433973013016,False,0.802,0.22,65.4,77.1,27.9
Aluminum,Carbide,10.173635476028569,7.692046619025563,39.968407532415995,1883.8052214408654,75.51564218062778,False,0.478,9.84,36.9,78.5,51.9
Titanium,Carbide,19.31125654664465,5.021131063810491,129.38316328122855,1996.8570091224992,170.0575818765287,False,0.791,0.74,59.0,80.8,32.6
Steel,HSS,19.431530521700537,9.690383793063543,103.53332356612727,1144.272287595711,513.146185869552,True,0.451,0.44,36.1,82.5,53.1
Steel,HSS,10.64794220211654,4.605187892050704,135.69327680107006,1166.8658709440067,454.67922054398804,False,0.684,0.41,56.5,79.0,30.3
Aluminum,HSS,21.706129217169003,9.868189773983703,121.73779429133464,142.64597685365186,595.3727756722861,False,0.466,2.83,45.7,75.7,36.0
Titanium,Carbide,11.3368988730066,3.643386052762102,75.87125485121335,1743.8238996240282,393.5104593896638,True,0.5,0.87,37.2,84.2,54.7
Titanium,HSS,19.501862479730846,2.8225150898484284,129.39715694331323,154.56418773078994,195.78362336342624,False,0.835,0.21,37.2,80.6,34.3
Aluminum,Carbide,7.4199953502413285,4.500557868183657,85.88258351654235,1302.0631333019799,337.77245583210106,False,0.489,8.52,48.6,83.1,48.8
Titanium,Carbide,8.374032856074914,9.084678315428711,55.03180531660722,287.296259614037,567.5005162192673,False,0.842,1.16,43.7,76.5,36.8
Titanium,Carbide,11.315912890165023,6.174815555962278,141.5127525964457,643.0933478022672,398.0228675268442,True,0.499,0.7,38.2,77.5,52.1
Steel,Carbide,16.87747535335723,3.0852008474976644,75.14247674334445,366.6261509103784,531.2693607840829,False,0.745,1.64,42.8,82.4,39.7
Titanium,HSS,17.910229709573986,3.6199923968327603,180.0244603758865,361.049147413828,33.27440271351026,False,0.773,0.19,44.2,70.3,33.7
Titanium,Carbide,12.927123439349497,4.490085297196506,55.87984274855846,241.7418664021679,234.3395661861296,True,0.428,1.0,15.1,86.6,61.4
Aluminum,Carbide,6.556783062210281,6.721333902501662,128.02592691785253,703.9757657724567,562.4781817408316,True,0.318,7.78,31.6,79.5,66.6
Aluminum,HSS,12.472693041854486,4.6590315190209655,122.87877947286559,904.9375544603081,42.787969040119464,False,0.502,3.19,40.1,84.3,40.5
Steel,Carbide,18.77535031918303,7.976432656714618,55.59352414420728,982.4990663811013,321.0788538760645,True,0.429,2.04,22.4,78.2,57.3
Titanium,Carbide,18.419909222606318,6.930348449482373,99.17963099561717,935.4452749875039,220.9871211757979,False,0.815,0.74,49.0,79.6,33.6
Titanium,Carbide,8.203928264108855,8.99058989882672,141.59697887770295,1095.0148651610275,394.7984293635982,True,0.528,0.79,43.9,76.6,50.2
Titanium,HSS,5.1556794053793435,6.007694610874914,77.33489680819535,1733.5951654551877,114.08921675194864,False,0.782,0.28,44.4,71.7,31.4
Steel,Carbide,20.059632345922335,4.649411312808542,40.4895183333437,1300.4135698417326,398.91419224861824,True,0.472,2.45,26.7,77.4,58.3
Steel,Carbide,7.127363327704874,9.970172542425633,130.74332869241852,132.84277484264436,595.2680883016907,True,0.406,1.49,30.9,78.1,55.8
Aluminum,HSS,6.64698287928571,4.845066574458846,60.3419424068929,428.6093286566055,177.27494075334155,False,0.516,3.48,27.1,81.8,44.0
Steel,HSS,5.05402433668327,5.428821118244096,142.6654963405258,763.0046620827444,287.6282087523766,True,0.433,0.37,27.6,71.2,49.6
Titanium,Carbide,13.652026519138545,8.473017802864707,171.10407738515013,1903.1830468432659,37.22554436919414,True,0.458,0.71,36.6,66.5,48.1
Titanium,Carbide,15.065278018016288,2.709089871144741,42.203966860963206,248.35085515485747,271.74825900664086,True,0.495,1.03,14.1,74.3,57.7
Steel,HSS,17.75328092297181,5.091920848468117,98.76963839983416,1449.2265985685149,255.4756293491046,True,0.391,0.38,29.3,86.8,55.4
Titanium,Carbide,10.921276814251717,2.6856807475062716,100.0860084827845,162.8769503152588,347.5301853197833,False,0.743,0.9,37.7,85.5,40.4
Titanium,HSS,19.2084943277356,3.1144469333820632,133.85646535777295,788.8206211037349,168.92692639995096,False,0.83,0.21,51.3,75.4,32.2
Steel,Carbide,8.386637148138831,2.0371266039840554,80.19342718356224,1563.2826510561122,210.61937847440558,False,0.732,1.91,49.8,72.6,33.3
Steel,HSS,21.639801062206946,2.0763543406590017,95.34244800598043,753.4657392328699,373.74007947296894,False,0.658,0.37,49.7,75.3,31.7
Titanium,Carbide,16.43696657780891,5.042303116022816,22.158423925085945,917.5359139742849,546.9154223169705,True,0.473,1.35,23.2,73.2,53.7
Titanium,HSS,16.67779646744097,8.47331043958221,42.03666401298668,1820.0786037081155,156.41492661348738,True,0.447,0.28,19.7,74.6,53.9
Titanium,HSS,9.195508275582164,6.696034884733545,122.57517791990074,225.7212735066663,412.92575995230345,False,0.82,0.22,43.4,76.9,34.4
Aluminum,HSS,6.482174986007765,7.079312353101147,58.861244053105054,1102.5584178991924,323.8523813434846,True,0.334,2.78,16.7,79.6,58.8
Aluminum,HSS,14.29449606161343,6.153993900679092,46.023840163347515,795.8513613232388,80.67331436724078,True,0.274,2.91,7.6,81.4,65.4
Aluminum,HSS,17.31223903844718,8.55834515336447,78.39429823354936,1931.2421758823589,347.95129570222286,True,0.235,3.44,33.2,79.0,57.5
Steel,Carbide,6.9009291732337115,9.043029801489393,49.43642508796223,1608.0106758946902,431.10862558774505,True,0.435,1.83,34.2,73.4,53.3
Aluminum,Carbide,24.010689490563333,8.797925825163002,30.73203856605853,331.94587699642364,366.9872577673808,False,0.518,8.78,28.9,68.5,48.7
Steel,HSS,24.608287204656136,8.49705684642431,71.09448484595157,1862.0785377728869,80.56024419528936,True,0.394,0.48,28.5,73.5,54.1
Steel,Carbide,15.909133907849839,3.4617045885062705,49.5845194457992,501.30526516216054,515.6329587453528,False,0.685,2.37,45.0,78.7,39.3
Aluminum,Carbide,24.001383105468122,6.751009802921769,163.89123362027055,261.15352271615825,43.78208567394837,True,0.277,6.45,17.6,74.9,63.9
Aluminum,Carbide,8.588904751617061,6.657305568786962,31.278254047519365,1129.0272316095354,156.8827174836843,False,0.501,10.24,31.5,73.8,55.5
Aluminum,Carbide,5.508413703590498,6.223552029981128,154.53978261800458,1499.5999829549305,377.1116138701133,False,0.525,6.56,57.9,65.6,37.2
Titanium,Carbide,5.788190705807798,5.846502314374128,88.90334254697632,1460.4966900428028,146.44733580102667,False,0.812,0.81,47.5,76.4,35.4
Aluminum,Carbide,16.75024958853558,2.713363817491068,141.5578356828911,1114.706530867053,79.04326958198662,False,0.517,7.81,40.2,80.2,48.0
Titanium,HSS,6.232837668736471,2.8173058712497756,29.484098540010052,1036.201201397435,316.91259408152854,False,0.762,0.33,40.9,68.4,34.3
Steel,Carbide,24.170912136481743,9.218252563524988,185.72671906212275,1942.1334048759898,439.0268874798742,True,0.403,1.55,54.3,59.5,44.5
Titanium,Carbide,7.838664215187972,7.041491512969589,158.1276255052897,1659.0617993620458,258.2379769443729,True,0.515,0.74,39.0,66.4,49.8
Aluminum,Carbide,11.094456121059572,4.098537715984051,45.22575293736071,1427.416072471775,425.1074020538731,True,0.264,8.13,21.4,81.3,70.4
Steel,HSS,21.45035603996697,4.23440311370765,59.381186784924864,470.90178076331966,519.1794263243107,False,0.675,0.55,40.0,75.5,36.1
Steel,Carbide,9.374806462081862,6.881558653189041,135.91932187510744,1657.5643129506373,576.1020516869523,True,0.439,1.72,47.0,72.8,49.7
Steel,Carbide,9.859369169091412,5.255479797085297,185.88126877298305,1524.5834126804548,155.29363604500026,False,0.645,1.63,61.3,67.6,27.9
Titanium,Carbide,17.846179115820362,5.530593367880757,100.24983038112204,1984.8505395775667,371.10944553280933,False,0.77,0.9,62.9,79.8,29.9
Aluminum,HSS,10.521721769785247,2.485199924267352,107.41390310392502,352.6907050748382,174.78690970261908,False,0.524,2.86,32.3,83.6,42.1
Steel,Carbide,9.348952680154007,3.109913496877958,62.80404705002534,1459.0612523012721,525.1327397329057,False,0.654,1.96,56.6,78.1,35.8
Steel,HSS,10.08355428611315,5.146803412509301,88.9419576118038,1960.2580667636985,536.3669634883765,False,0.677,0.43,58.8,81.6,31.8
Steel,Carbide,14.812949986814537,7.5974913594781475,71.48318650945502,978.9267517644929,206.85333364042464,False,0.718,2.1,36.0,80.7,39.0
Titanium,HSS,24.321997454629642,2.384203100799305,83.10280693480635,1493.4798425094239,394.29908286866635,False,0.767,0.27,58.3,73.2,29.5
Titanium,HSS,21.644758831224568,4.676462342648666,23.7075724559625,1953.2042360363173,534.8517135420227,True,0.506,0.42,32.6,66.5,50.5
Aluminum,HSS,10.692205291203543,7.560575615476127,27.390934041002794,1140.221298421393,314.85090728734997,False,0.508,4.18,33.7,69.0,39.9
Titanium,Carbide,12.267464169961954,8.33640632360233,142.52357610360252,1428.1790299358927,437.87297316431443,False,0.792,0.87,59.7,74.8,30.8
Steel,HSS,14.290245010081549,3.5217656327625066,142.72313400607317,138.1611390229823,484.49619219958635,True,0.363,0.41,27.6,76.5,51.1
